# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: CN
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2000-01-01,元旦
2000-01-03,元旦（补假）
2000-02-05,春节
2000-02-06,春节
2000-02-07,春节
2000-02-08,春节（补假）
2000-02-09,春节（补假）
2000-05-01,劳动节
2000-05-02,劳动节
2000-05-03,劳动节
2000-10-01,国庆节
2000-10-02,国庆节
2000-10-03,国庆节
2000-10-04,国庆节（补假）
2001-01-01,元旦
2001-01-24,春节
2001-01-25,春节
2001-01-26,春节
2001-01-29,休息日（由 2001-01-20 调休）
2001-01-30,休息日（由 2001-01-21 调休）
2001-05-01,劳动节
2001-05-02,劳动节
2001-05-03,劳动节
2001-05-04,休息日（由 2001-04-28 调休）
2001-05-07,休息日（由 2001-04-29 调休）
2001-10-01,国庆节
2001-10-02,国庆节
2001-10-03,国庆节
2001-10-04,休息日（由 2001-09-29 调休）
2001-10-05,休息日（由 2001-09-30 调休）
2002-01-01,元旦
2002-01-02,休息日（由 2001-12-29 调休）
2002-01-03,休息日（由 2001-12-30 调休）
2002-02-12,春节
2002-02-13,春节
2002-02-14,春节
2002-02-15,休息日（由 2002-02-09 调休）
2002-02-18,休息日（由 2002-02-10 调休）
2002-05-01,劳动节
2002-05-02,劳动节
2002-05-03,劳动节
2002-05-06,休息日（由 2002-04-27 调休）
2002-05-07,休息日（由 2002-04-28 调休）
2002-10-01,国庆节
2002-10-02,国庆节
2002-10-03,国庆节
2002-10-04,休息日（由 2002-09-28 调休）
2002-10-07,休息日（由 2002-09-29 调休）
2003-01-01,元旦
2003-02-01,春节
2003-02-02,春节
2003-02-03,春节
2003-02-04,春节（补假）
2003-02-05,春节（补假）
2003-02-06,休息日（由 2003-02-08 调休）
2003-02-07,休息日（由 2003-02-09 调休）
2003-05-01,劳动节
2003-05-02,劳动节
2003-05-03,劳动节
2003-05-05,劳动节（补假）
2003-05-06,休息日（由 2003-04-26 调休）
2003-05-07,休息日（由 2003-04-27 调休）
2003-10-01,国庆节
2003-10-02,国庆节
2003-10-03,国庆节
2003-10-06,休息日（由 2003-09-27 调休）
2003-10-07,休息日（由 2003-09-28 调休）
2004-01-01,元旦
2004-01-22,春节
2004-01-23,春节
2004-01-24,春节
2004-01-26,春节（补假）
2004-01-27,休息日（由 2004-01-17 调休）
2004-01-28,休息日（由 2004-01-18 调休）
2004-05-01,劳动节
2004-05-02,劳动节
2004-05-03,劳动节
2004-05-04,劳动节（补假）
2004-05-05,劳动节（补假）
2004-05-06,休息日（由 2004-05-08 调休）
2004-05-07,休息日（由 2004-05-09 调休）
2004-10-01,国庆节
2004-10-02,国庆节
2004-10-03,国庆节
2004-10-04,国庆节（补假）
2004-10-05,国庆节（补假）
2004-10-06,休息日（由 2004-10-09 调休）
2004-10-07,休息日（由 2004-10-10 调休）
2005-01-01,元旦
2005-01-03,元旦（补假）
2005-02-09,春节
2005-02-10,春节
2005-02-11,春节
2005-02-14,休息日（由 2005-02-05 调休）
2005-02-15,休息日（由 2005-02-06 调休）
2005-05-01,劳动节
2005-05-02,劳动节
2005-05-03,劳动节
2005-05-04,劳动节（补假）
2005-05-05,休息日（由 2005-04-30 调休）
2005-05-06,休息日（由 2005-05-08 调休）
2005-10-01,国庆节
2005-10-02,国庆节
2005-10-03,国庆节
2005-10-04,国庆节（补假）
2005-10-05,国庆节（补假）
2005-10-06,休息日（由 2005-10-08 调休）
2005-10-07,休息日（由 2005-10-09 调休）
2006-01-01,元旦
2006-01-02,元旦（补假）
2006-01-03,休息日（由 2005-12-31 调休）
2006-01-29,春节
2006-01-30,春节
2006-01-31,春节
2006-02-01,春节（补假）
2006-02-02,休息日（由 2006-01-28 调休）
2006-02-03,休息日（由 2006-02-05 调休）
2006-05-01,劳动节
2006-05-02,劳动节
2006-05-03,劳动节
2006-05-04,休息日（由 2006-04-29 调休）
2006-05-05,休息日（由 2006-04-30 调休）
2006-10-01,国庆节
2006-10-02,国庆节
2006-10-03,国庆节
2006-10-04,国庆节（补假）
2006-10-05,休息日（由 2006-09-30 调休）
2006-10-06,休息日（由 2006-10-08 调休）
2007-01-01,元旦
2007-01-02,休息日（由 2006-12-30 调休）
2007-01-03,休息日（由 2006-12-31 调休）
2007-02-18,春节
2007-02-19,春节
2007-02-20,春节
2007-02-21,春节（补假）
2007-02-22,休息日（由 2007-02-17 调休）
2007-02-23,休息日（由 2007-02-25 调休）
2007-05-01,劳动节
2007-05-02,劳动节
2007-05-03,劳动节
2007-05-04,休息日（由 2007-04-28 调休）
2007-05-07,休息日（由 2007-04-29 调休）
2007-10-01,国庆节
2007-10-02,国庆节
2007-10-03,国庆节
2007-10-04,休息日（由 2007-09-29 调休）
2007-10-05,休息日（由 2007-09-30 调休）
2007-12-31,休息日（由 2007-12-29 调休）
2008-01-01,元旦
2008-02-06,农历除夕
2008-02-07,春节
2008-02-08,春节
2008-02-11,休息日（由 2008-02-02 调休）
2008-02-12,休息日（由 2008-02-03 调休）
2008-04-04,清明节
2008-05-01,劳动节
2008-05-02,休息日（由 2008-05-04 调休）
2008-06-08,端午节
2008-06-09,端午节（补假）
2008-09-14,中秋节
2008-09-15,中秋节（补假）
2008-09-29,休息日（由 2008-09-27 调休）
2008-09-30,休息日（由 2008-09-28 调休）
2008-10-01,国庆节
2008-10-02,国庆节
2008-10-03,国庆节
2009-01-01,元旦
2009-01-02,休息日（由 2009-01-04 调休）
2009-01-25,农历除夕
2009-01-26,春节
2009-01-27,春节
2009-01-28,农历除夕（补假）
