# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: DE
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2000-01-01,Neujahr
2000-04-21,Karfreitag
2000-04-24,Ostermontag
2000-05-01,Erster Mai
2000-06-01,Christi Himmelfahrt
2000-06-12,Pfingstmontag
2000-10-03,Tag der Deutschen Einheit
2000-12-25,Erster Weihnachtstag
2000-12-26,Zweiter Weihnachtstag
2001-01-01,Neujahr
2001-04-13,Karfreitag
2001-04-16,Ostermontag
2001-05-01,Erster Mai
2001-05-24,Christi Himmelfahrt
2001-06-04,Pfingstmontag
2001-10-03,Tag der Deutschen Einheit
2001-12-25,Erster Weihnachtstag
2001-12-26,Zweiter Weihnachtstag
2002-01-01,Neujahr
2002-03-29,Karfreitag
2002-04-01,Ostermontag
2002-05-01,Erster Mai
2002-05-09,Christi Himmelfahrt
2002-05-20,Pfingstmontag
2002-10-03,Tag der Deutschen Einheit
2002-12-25,Erster Weihnachtstag
2002-12-26,Zweiter Weihnachtstag
2003-01-01,Neujahr
2003-04-18,Karfreitag
2003-04-21,Ostermontag
2003-05-01,Erster Mai
2003-05-29,Christi Himmelfahrt
2003-06-09,Pfingstmontag
2003-10-03,Tag der Deutschen Einheit
2003-12-25,Erster Weihnachtstag
2003-12-26,Zweiter Weihnachtstag
2004-01-01,Neujahr
2004-04-09,Karfreitag
2004-04-12,Ostermontag
2004-05-01,Erster Mai
2004-05-20,Christi Himmelfahrt
2004-05-31,Pfingstmontag
2004-10-03,Tag der Deutschen Einheit
2004-12-25,Erster Weihnachtstag
2004-12-26,Zweiter Weihnachtstag
2005-01-01,Neujahr
2005-03-25,Karfreitag
2005-03-28,Ostermontag
2005-05-01,Erster Mai
2005-05-05,Christi Himmelfahrt
2005-05-16,Pfingstmontag
2005-10-03,Tag der Deutschen Einheit
2005-12-25,Erster Weihnachtstag
2005-12-26,Zweiter Weihnachtstag
2006-01-01,Neujahr
2006-04-14,Karfreitag
2006-04-17,Ostermontag
2006-05-01,Erster Mai
2006-05-25,Christi Himmelfahrt
2006-06-05,Pfingstmontag
2006-10-03,Tag der Deutschen Einheit
2006-12-25,Erster Weihnachtstag
2006-12-26,Zweiter Weihnachtstag
2007-01-01,Neujahr
2007-04-06,Karfreitag
2007-04-09,Ostermontag
2007-05-01,Erster Mai
2007-05-17,Christi Himmelfahrt
2007-05-28,Pfingstmontag
2007-10-03,Tag der Deutschen Einheit
2007-12-25,Erster Weihnachtstag
2007-12-26,Zweiter Weihnachtstag
2008-01-01,Neujahr
2008-03-21,Karfreitag
2008-03-24,Ostermontag
2008-05-01,Christi Himmelfahrt; Erster Mai
2008-05-12,Pfingstmontag
2008-10-03,Tag der Deutschen Einheit
2008-12-25,Erster Weihnachtstag
2008-12-26,Zweiter Weihnachtstag
2009-01-01,Neujahr
2009-04-10,Karfreitag
2009-04-13,Ostermontag
2009-05-01,Erster Mai
2009-05-21,Christi Himmelfahrt
2009-06-01,Pfingstmontag
2009-10-03,Tag der Deutschen Einheit
2009-12-25,Erster Weihnachtstag
2009-12-26,Zweiter Weihnachtstag
2010-01-01,Neujahr
2010-04-02,Karfreitag
2010-04-05,Ostermontag
2010-05-01,Erster Mai
2010-05-13,Christi Himmelfahrt
2010-05-24,Pfingstmontag
2010-10-03,Tag der Deutschen Einheit
2010-12-25,Erster Weihnachtstag
2010-12-26,Zweiter Weihnachtstag
2011-01-01,Neujahr
2011-04-22,Karfreitag
2011-04-25,Ostermontag
2011-05-01,Erster Mai
2011-06-02,Christi Himmelfahrt
2011-06-13,Pfingstmontag
2011-10-03,Tag der Deutschen Einheit
2011-12-25,Erster Weihnachtstag
2011-12-26,Zweiter Weihnachtstag
2012-01-01,Neujahr
2012-04-06,Karfreitag
2012-04-09,Ostermontag
2012-05-01,Erster Mai
2012-05-17,Christi Himmelfahrt
2012-05-28,Pfingstmontag
2012-10-03,Tag der Deutschen Einheit
2012-12-25,Erster Weihnachtstag
2012-12-26,Zweiter Weihnachtstag
2013-01-01,Neujahr
2013-03-29,Karfreitag
2013-04-01,Ostermontag
2013-05-01,Erster Mai
2013-05-09,Christi Himmelfahrt
2013-05-20,Pfingstmontag
2013-10-03,Tag der Deutschen Einheit
2013-12-25,Erster Weihnachtstag
2013-12-26,Zweiter Weihnachtstag
2014-01-01,Neujahr
2014-04-18,Karfreitag
2014-04-21,Ostermontag
2014-05-01,Erster Mai
2014-05-29,Christi Himmelfahrt
2014-06-09,Pfingstmontag
2014-10-03,Tag der Deutschen Einheit
2014-12-25,Erster Weihnachtstag
2014-12-26,Zweiter Weihnachtstag
2015-01-01,Neujahr
2015-04-03,Karfreitag
2015-04-06,Ostermontag
2015-05-01,Erster Mai
2015-05-14,Christi Himmelfahrt
2015-05-25,Pfingstmontag
2015-10-03,Tag der Deutschen Einheit
2015-12-25,Erster Weihnachtstag
2015-12-26,Zweiter Weihnachtstag
2016-01-01,Neujahr
2016-03-25,Karfreitag
2016-03-28,Ostermontag
2016-05-01,Erster Mai
2016-05-05,Christi Himmelfahrt
2016-05-16,Pfingstmontag
2016-10-03,Tag der Deutschen Einheit
2016-12-25,Erster Weihnachtstag
2016-12-26,Zweiter Weihnachtstag
2017-01-01,Neujahr
2017-04-14,Karfreitag
2017-04-17,Ostermontag
2017-05-01,Erster Mai
2017-05-25,Christi Himmelfahrt
2017-06-05,Pfingstmontag
2017-10-03,Tag der Deutschen Einheit
2017-10-31,Reformationstag
2017-12-25,Erster Weihnachtstag
2017-12-26,Zweiter Weihnachtstag
2018-01-01,Neujahr
2018-03-30,Karfreitag
2018-04-02,Ostermontag
2018-05-01,Erster Mai
2018-05-10,Christi Himmelfahrt
2018-05-21,Pfingstmontag
2018-10-03,Tag der Deutschen Einheit
2018-12-25,Erster Weihnachtstag
2018-12-26,Zweiter Weihnachtstag
2019-01-01,Neujahr
2019-04-19,Karfreitag
2019-04-22,Ostermontag
2019-05-01,Erster Mai
2019-05-30,Christi Himmelfahrt
2019-06-10,Pfingstmontag
2019-10-03,Tag der Deutschen Einheit
2019-12-25,Erster Weihnachtstag
2019-12-26,Zweiter Weihnachtstag
2020-01-01,Neujahr
2020-04-10,Karfreitag
2020-04-13,Ostermontag
2020-05-01,Erster Mai
2020-05-21,Christi Himmelfahrt
2020-06-01,Pfingstmontag
2020-10-03,Tag der Deutschen Einheit
2020-12-25,Erster Weihnachtstag
2020-12-26,Zweiter Weihnachtstag
2021-01-01,Neujahr
2021-04-02,Karfreitag
2021-04-05,Ostermontag
2021-05-01,Erster Mai
2021-05-13,Christi Himmelfahrt
2021-05-24,Pfingstmontag
2021-10-03,Tag der Deutschen Einheit
2021-12-25,Erster Weihnachtstag
2021-12-26,Zweiter Weihnachtstag
2022-01-01,Neujahr
2022-04-15,Karfreitag
2022-04-18,Ostermontag
2022-05-01,Erster Mai
2022-05-26,Christi Himmelfahrt
2022-06-06,Pfingstmontag
2022-10-03,Tag der Deutschen Einheit
2022-12-25,Erster Weihnachtstag
2022-12-26,Zweiter Weihnachtstag
2023-01-01,Neujahr
2023-04-07,Karfreitag
2023-04-10,Ostermontag
2023-05-01,Erster Mai
2023-05-18,Christi Himmelfahrt
2023-05-29,Pfingstmontag
2023-10-03,Tag der Deutschen Einheit
2023-12-25,Erster Weihnachtstag
2023-12-26,Zweiter Weihnachtstag
2024-01-01,Neujahr
2024-03-29,Karfreitag
2024-04-01,Ostermontag
2024-05-01,Erster Mai
2024-05-09,Christi Himmelfahrt
2024-05-20,Pfingstmontag
2024-10-03,Tag der Deutschen Einheit
2024-12-25,Erster Weihnachtstag
2024-12-26,Zweiter Weihnachtstag
2025-01-01,Neujahr
2025-04-18,Karfreitag
2025-04-21,Ostermontag
2025-05-01,Erster Mai
2025-05-29,Christi Himmelfahrt
2025-06-09,Pfingstmontag
2025-10-03,Tag der Deutschen Einheit
2025-12-25,Erster Weihnachtstag
2025-12-26,Zweiter Weihnachtstag
2026-01-01,Neujahr
2026-04-03,Karfreitag
2026-04-06,Ostermontag
2026-05-01,Erster Mai
2026-05-14,Christi Himmelfahrt
2026-05-25,Pfingstmontag
2026-10-03,Tag der Deutschen Einheit
2026-12-25,Erster Weihnachtstag
2026-12-26,Zweiter Weihnachtstag
2027-01-01,Neujahr
2027-03-26,Karfreitag
2027-03-29,Ostermontag
2027-05-01,Erster Mai
2027-05-06,Christi Himmelfahrt
2027-05-17,Pfingstmontag
2027-10-03,Tag der Deutschen Einheit
2027-12-25,Erster Weihnachtstag
2027-12-26,Zweiter Weihnachtstag
2028-01-01,Neujahr
2028-04-14,Karfreitag
2028-04-17,Ostermontag
2028-05-01,Erster Mai
2028-05-25,Christi Himmelfahrt
2028-06-05,Pfingstmontag
2028-10-03,Tag der Deutschen Einheit
2028-12-25,Erster Weihnachtstag
2028-12-26,Zweiter Weihnachtstag
2029-01-01,Neujahr
2029-03-30,Karfreitag
2029-04-02,Ostermontag
2029-05-01,Erster Mai
2029-05-10,Christi Himmelfahrt
2029-05-21,Pfingstmontag
2029-10-03,Tag der Deutschen Einheit
2029-12-25,Erster Weihnachtstag
2029-12-26,Zweiter Weihnachtstag
2030-01-01,Neujahr
2030-04-19,Karfreitag
2030-04-22,Ostermontag
2030-05-01,Erster Mai
2030-05-30,Christi Himmelfahrt
2030-06-10,Pfingstmontag
2030-10-03,Tag der Deutschen Einheit
2030-12-25,Erster Weihnachtstag
2030-12-26,Zweiter Weihnachtstag
2031-01-01,Neujahr
2031-04-11,Karfreitag
2031-04-14,Ostermontag
2031-05-01,Erster Mai
2031-05-22,Christi Himmelfahrt
2031-06-02,Pfingstmontag
2031-10-03,Tag der Deutschen Einheit
2031-12-25,Erster Weihnachtstag
2031-12-26,Zweiter Weihnachtstag
2032-01-01,Neujahr
2032-03-26,Karfreitag
2032-03-29,Ostermontag
2032-05-01,Erster Mai
2032-05-06,Christi Himmelfahrt
2032-05-17,Pfingstmontag
2032-10-03,Tag der Deutschen Einheit
2032-12-25,Erster Weihnachtstag
2032-12-26,Zweiter Weihnachtstag
2033-01-01,Neujahr
2033-04-15,Karfreitag
2033-04-18,Ostermontag
2033-05-01,Erster Mai
2033-05-26,Christi Himmelfahrt
2033-06-06,Pfingstmontag
2033-10-03,Tag der Deutschen Einheit
2033-12-25,Erster Weihnachtstag
2033-12-26,Zweiter Weihnachtstag
2034-01-01,Neujahr
2034-04-07,Karfreitag
2034-04-10,Ostermontag
2034-05-01,Erster Mai
2034-05-18,Christi Himmelfahrt
2034-05-29,Pfingstmontag
2034-10-03,Tag der Deutschen Einheit
2034-12-25,Erster Weihnachtstag
2034-12-26,Zweiter Weihnachtstag
2035-01-01,Neujahr
2035-03-23,Karfreitag
2035-03-26,Ostermontag
2035-05-01,Erster Mai
2035-05-03,Christi Himmelfahrt
2035-05-14,Pfingstmontag
2035-10-03,Tag der Deutschen Einheit
2035-12-25,Erster Weihnachtstag
2035-12-26,Zweiter Weihnachtstag
2036-01-01,Neujahr
2036-04-11,Karfreitag
2036-04-14,Ostermontag
2036-05-01,Erster Mai
2036-05-22,Christi Himmelfahrt
2036-06-02,Pfingstmontag
2036-10-03,Tag der Deutschen Einheit
2036-12-25,Erster Weihnachtstag
2036-12-26,Zweiter Weihnachtstag
2037-01-01,Neujahr
2037-04-03,Karfreitag
2037-04-06,Ostermontag
2037-05-01,Erster Mai
2037-05-14,Christi Himmelfahrt
2037-05-25,Pfingstmontag
2037-10-03,Tag der Deutschen Einheit
2037-12-25,Erster Weihnachtstag
2037-12-26,Zweiter Weihnachtstag
2038-01-01,Neujahr
2038-04-23,Karfreitag
2038-04-26,Ostermontag
2038-05-01,Erster Mai
2038-06-03,Christi Himmelfahrt
2038-06-14,Pfingstmontag
2038-10-03,Tag der Deutschen Einheit
2038-12-25,Erster Weihnachtstag
2038-12-26,Zweiter Weihnachtstag
2039-01-01,Neujahr
2039-04-08,Karfreitag
2039-04-11,Ostermontag
2039-05-01,Erster Mai
2039-05-19,Christi Himmelfahrt
2039-05-30,Pfingstmontag
2039-10-03,Tag der Deutschen Einheit
2039-12-25,Erster Weihnachtstag
2039-12-26,Zweiter Weihnachtstag
2040-01-01,Neujahr
2040-03-30,Karfreitag
2040-04-02,Ostermontag
2040-05-01,Erster Mai
2040-05-10,Christi Himmelfahrt
