# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: FR
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2000-01-01,Jour de l'an
2000-04-24,Lundi de Pâques
2000-05-01,Fête du Travail
2000-05-08,Fête de la Victoire
2000-06-01,Ascension
2000-06-12,Lundi de Pentecôte
2000-07-14,Fête nationale
2000-08-15,Assomption
2000-11-01,Toussaint
2000-11-11,Armistice
2000-12-25,Noël
2001-01-01,Jour de l'an
2001-04-16,Lundi de Pâques
2001-05-01,Fête du Travail
2001-05-08,Fête de la Victoire
2001-05-24,Ascension
2001-06-04,Lundi de Pentecôte
2001-07-14,Fête nationale
2001-08-15,Assomption
2001-11-01,Toussaint
2001-11-11,Armistice
2001-12-25,Noël
2002-01-01,Jour de l'an
2002-04-01,Lundi de Pâques
2002-05-01,Fête du Travail
2002-05-08,Fête de la Victoire
2002-05-09,Ascension
2002-05-20,Lundi de Pentecôte
2002-07-14,Fête nationale
2002-08-15,Assomption
2002-11-01,Toussaint
2002-11-11,Armistice
2002-12-25,Noël
2003-01-01,Jour de l'an
2003-04-21,Lundi de Pâques
2003-05-01,Fête du Travail
2003-05-08,Fête de la Victoire
2003-05-29,Ascension
2003-06-09,Lundi de Pentecôte
2003-07-14,Fête nationale
2003-08-15,Assomption
2003-11-01,Toussaint
2003-11-11,Armistice
2003-12-25,Noël
2004-01-01,Jour de l'an
2004-04-12,Lundi de Pâques
2004-05-01,Fête du Travail
2004-05-08,Fête de la Victoire
2004-05-20,Ascension
2004-05-31,Lundi de Pentecôte
2004-07-14,Fête nationale
2004-08-15,Assomption
2004-11-01,Toussaint
2004-11-11,Armistice
2004-12-25,Noël
2005-01-01,Jour de l'an
2005-03-28,Lundi de Pâques
2005-05-01,Fête du Travail
2005-05-05,Ascension
2005-05-08,Fête de la Victoire
2005-07-14,Fête nationale
2005-08-15,Assomption
2005-11-01,Toussaint
2005-11-11,Armistice
2005-12-25,Noël
2006-01-01,Jour de l'an
2006-04-17,Lundi de Pâques
2006-05-01,Fête du Travail
2006-05-08,Fête de la Victoire
2006-05-25,Ascension
2006-07-14,Fête nationale
2006-08-15,Assomption
2006-11-01,Toussaint
2006-11-11,Armistice
2006-12-25,Noël
2007-01-01,Jour de l'an
2007-04-09,Lundi de Pâques
2007-05-01,Fête du Travail
2007-05-08,Fête de la Victoire
2007-05-17,Ascension
2007-07-14,Fête nationale
2007-08-15,Assomption
2007-11-01,Toussaint
2007-11-11,Armistice
2007-12-25,Noël
2008-01-01,Jour de l'an
2008-03-24,Lundi de Pâques
2008-05-01,Ascension; Fête du Travail
2008-05-08,Fête de la Victoire
2008-05-12,Lundi de Pentecôte
2008-07-14,Fête nationale
2008-08-15,Assomption
2008-11-01,Toussaint
2008-11-11,Armistice
2008-12-25,Noël
2009-01-01,Jour de l'an
2009-04-13,Lundi de Pâques
2009-05-01,Fête du Travail
2009-05-08,Fête de la Victoire
2009-05-21,Ascension
2009-06-01,Lundi de Pentecôte
2009-07-14,Fête nationale
2009-08-15,Assomption
2009-11-01,Toussaint
2009-11-11,Armistice
2009-12-25,Noël
2010-01-01,Jour de l'an
2010-04-05,Lundi de Pâques
2010-05-01,Fête du Travail
2010-05-08,Fête de la Victoire
2010-05-13,Ascension
2010-05-24,Lundi de Pentecôte
2010-07-14,Fête nationale
2010-08-15,Assomption
2010-11-01,Toussaint
2010-11-11,Armistice
2010-12-25,Noël
2011-01-01,Jour de l'an
2011-04-25,Lundi de Pâques
2011-05-01,Fête du Travail
2011-05-08,Fête de la Victoire
2011-06-02,Ascension
2011-06-13,Lundi de Pentecôte
2011-07-14,Fête nationale
2011-08-15,Assomption
2011-11-01,Toussaint
2011-11-11,Armistice
2011-12-25,Noël
2012-01-01,Jour de l'an
2012-04-09,Lundi de Pâques
2012-05-01,Fête du Travail
2012-05-08,Fête de la Victoire
2012-05-17,Ascension
2012-05-28,Lundi de Pentecôte
2012-07-14,Fête nationale
2012-08-15,Assomption
2012-11-01,Toussaint
2012-11-11,Armistice
2012-12-25,Noël
2013-01-01,Jour de l'an
2013-04-01,Lundi de Pâques
2013-05-01,Fête du Travail
2013-05-08,Fête de la Victoire
2013-05-09,Ascension
2013-05-20,Lundi de Pentecôte
2013-07-14,Fête nationale
2013-08-15,Assomption
2013-11-01,Toussaint
2013-11-11,Armistice
2013-12-25,Noël
2014-01-01,Jour de l'an
2014-04-21,Lundi de Pâques
2014-05-01,Fête du Travail
2014-05-08,Fête de la Victoire
2014-05-29,Ascension
2014-06-09,Lundi de Pentecôte
2014-07-14,Fête nationale
2014-08-15,Assomption
2014-11-01,Toussaint
2014-11-11,Armistice
2014-12-25,Noël
2015-01-01,Jour de l'an
2015-04-06,Lundi de Pâques
2015-05-01,Fête du Travail
2015-05-08,Fête de la Victoire
2015-05-14,Ascension
2015-05-25,Lundi de Pentecôte
2015-07-14,Fête nationale
2015-08-15,Assomption
2015-11-01,Toussaint
2015-11-11,Armistice
2015-12-25,Noël
2016-01-01,Jour de l'an
2016-03-28,Lundi de Pâques
2016-05-01,Fête du Travail
2016-05-05,Ascension
2016-05-08,Fête de la Victoire
2016-05-16,Lundi de Pentecôte
2016-07-14,Fête nationale
2016-08-15,Assomption
2016-11-01,Toussaint
2016-11-11,Armistice
2016-12-25,Noël
2017-01-01,Jour de l'an
2017-04-17,Lundi de Pâques
2017-05-01,Fête du Travail
2017-05-08,Fête de la Victoire
2017-05-25,Ascension
2017-06-05,Lundi de Pentecôte
2017-07-14,Fête nationale
2017-08-15,Assomption
2017-11-01,Toussaint
2017-11-11,Armistice
