# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: TW
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2000-01-01,中華民國開國紀念日
2000-02-04,農曆除夕
2000-02-05,春節
2000-02-06,春節
2000-02-07,春節
2000-02-28,和平紀念日
2000-04-03,放假日（2000-04-08 補班）
2000-04-04,民族掃墓節
2000-05-14,佛陀誕辰紀念日（補假）
2000-06-06,端午節
2000-09-12,中秋節
2000-10-10,國慶日
2001-01-01,中華民國開國紀念日
2001-01-22,放假日（2001-01-20 補班）
2001-01-23,農曆除夕
2001-01-24,春節
2001-01-25,春節
2001-01-26,春節
2001-02-28,和平紀念日
2001-04-05,民族掃墓節
2001-06-25,端午節
2001-10-01,中秋節
2001-10-10,國慶日
2002-01-01,中華民國開國紀念日
2002-02-11,農曆除夕
2002-02-12,春節
2002-02-13,春節
2002-02-14,春節
2002-02-28,和平紀念日
2002-04-05,民族掃墓節
2002-06-15,端午節
2002-09-21,中秋節
2002-10-10,國慶日
2003-01-01,中華民國開國紀念日
2003-01-31,農曆除夕
2003-02-01,春節
2003-02-02,春節
2003-02-03,春節
2003-02-04,春節（補假）
2003-02-05,春節（補假）
2003-02-28,和平紀念日
2003-04-05,民族掃墓節
2003-06-04,端午節
2003-09-11,中秋節
2003-10-10,國慶日
2004-01-01,中華民國開國紀念日
2004-01-21,農曆除夕
2004-01-22,春節
2004-01-23,春節
2004-01-24,春節
2004-01-26,春節（補假）
2004-02-28,和平紀念日
2004-04-04,民族掃墓節
2004-06-22,端午節
2004-09-28,中秋節
2004-10-10,國慶日
2005-01-01,中華民國開國紀念日
2005-02-07,放假日（2005-02-05 補班）
2005-02-08,農曆除夕
2005-02-09,春節
2005-02-10,春節
2005-02-11,春節
2005-02-28,和平紀念日
2005-04-05,民族掃墓節
2005-06-11,端午節
2005-09-18,中秋節
2005-10-10,國慶日
2006-01-01,中華民國開國紀念日
2006-01-28,農曆除夕
2006-01-29,春節
2006-01-30,春節
2006-01-31,春節
2006-02-01,農曆除夕（補假）
2006-02-02,春節（補假）
2006-02-28,和平紀念日
2006-04-05,民族掃墓節
2006-05-31,端午節
2006-10-06,中秋節
2006-10-09,放假日（2006-10-14 補班）
2006-10-10,國慶日
2007-01-01,中華民國開國紀念日
2007-02-17,農曆除夕
2007-02-18,春節
2007-02-19,春節
2007-02-20,春節
2007-02-21,農曆除夕（補假）
2007-02-22,春節（補假）
2007-02-23,放假日（2007-03-03 補班）
2007-02-28,和平紀念日
2007-04-05,民族掃墓節
2007-04-06,放假日（2007-04-14 補班）
2007-06-18,放假日（2007-06-23 補班）
2007-06-19,端午節
2007-09-24,放假日（2007-09-29 補班）
2007-09-25,中秋節
2007-10-10,國慶日
2008-01-01,中華民國開國紀念日
2008-02-06,農曆除夕
2008-02-07,春節
2008-02-08,春節
2008-02-09,春節
2008-02-11,春節（補假）
2008-02-28,和平紀念日
2008-04-04,民族掃墓節
2008-06-08,端午節
2008-09-14,中秋節
2008-10-10,國慶日
2009-01-01,中華民國開國紀念日
2009-01-02,放假日（2009-01-10 補班）
2009-01-25,農曆除夕
2009-01-26,春節
2009-01-27,春節
2009-01-28,春節
2009-01-29,農曆除夕（補假）
2009-01-30,放假日（2009-01-17 補班）
2009-02-28,和平紀念日
2009-04-04,民族掃墓節
2009-05-28,端午節
2009-05-29,放假日（2009-06-06 補班）
2009-10-03,中秋節
2009-10-10,國慶日
2010-01-01,中華民國開國紀念日
2010-02-13,農曆除夕
2010-02-14,春節
2010-02-15,春節
2010-02-16,春節
2010-02-17,農曆除夕（補假）
2010-02-18,春節（補假）
2010-02-19,放假日（2010-02-06 補班）
2010-02-28,和平紀念日
2010-04-05,民族掃墓節
2010-06-16,端午節
2010-09-22,中秋節
2010-10-10,國慶日
2011-01-01,中華民國開國紀念日
2011-02-02,農曆除夕
2011-02-03,春節
2011-02-04,春節
2011-02-05,春節
2011-02-07,春節（補假）
