# generated by almanac_calendar/_generate/gen_koyomi_tables.py — do not hand-edit
# ephem: 4.2.1
# longitude: apparent geocentric (g_ra/g_dec), equinox of date
# range: 1899-11-01 .. 2102-03-01 (UTC, minute resolution)
# supported: 1900-01-01 .. 2100-12-31
utc,longitude
1899-11-07T14:47,225
1899-11-22T12:01,240
1899-12-07T07:05,255
1899-12-22T00:56,270
1900-01-05T18:04,285
1900-01-20T11:32,300
1900-02-04T05:52,315
1900-02-19T02:01,330
1900-03-06T00:22,345
1900-03-21T01:39,0
1900-04-05T05:53,15
1900-04-20T13:27,30
1900-05-05T23:55,45
1900-05-21T13:17,60
1900-06-06T04:39,75
1900-06-21T21:40,90
1900-07-07T15:10,105
1900-07-23T08:36,120
1900-08-08T00:51,135
1900-08-23T15:20,150
1900-09-08T03:17,165
1900-09-23T12:20,180
1900-10-08T18:13,195
1900-10-23T20:55,210
1900-11-07T20:40,225
1900-11-22T17:48,240
1900-12-07T12:56,255
1900-12-22T06:42,270
1901-01-05T23:53,285
1901-01-20T17:16,300
1901-02-04T11:40,315
1901-02-19T07:45,330
1901-03-06T06:11,345
1901-03-21T07:24,0
1901-04-05T11:44,15
1901-04-20T19:14,30
1901-05-06T05:51,45
1901-05-21T19:05,60
1901-06-06T10:37,75
1901-06-22T03:28,90
1901-07-07T21:08,105
1901-07-23T14:24,120
1901-08-08T06:46,135
1901-08-23T21:08,150
1901-09-08T09:10,165
1901-09-23T18:09,180
1901-10-09T00:07,195
1901-10-24T02:46,210
1901-11-08T02:35,225
1901-11-22T23:41,240
1901-12-07T18:53,255
1901-12-22T12:37,270
1902-01-06T05:52,285
1902-01-20T23:12,300
1902-02-04T17:38,315
1902-02-19T13:40,330
1902-03-06T12:08,345
1902-03-21T13:17,0
1902-04-05T17:38,15
1902-04-21T01:04,30
1902-05-06T11:39,45
1902-05-22T00:54,60
1902-06-06T16:20,75
1902-06-22T09:15,90
1902-07-08T02:47,105
1902-07-23T20:10,120
1902-08-08T12:22,135
1902-08-24T02:53,150
1902-09-08T14:47,165
1902-09-23T23:55,180
1902-10-09T05:45,195
1902-10-24T08:36,210
1902-11-08T08:18,225
1902-11-23T05:35,240
1902-12-08T00:41,255
1902-12-22T18:35,270
1903-01-06T11:44,285
1903-01-21T05:13,300
1903-02-04T23:31,315
1903-02-19T19:41,330
1903-03-06T17:59,345
1903-03-21T19:15,0
1903-04-05T23:26,15
1903-04-21T06:59,30
1903-05-06T17:26,45
1903-05-22T06:45,60
1903-06-06T22:07,75
1903-06-22T15:05,90
1903-07-08T08:37,105
1903-07-24T01:59,120
1903-08-08T18:16,135
1903-08-24T08:42,150
1903-09-08T20:43,165
1903-09-24T05:44,180
1903-10-09T11:42,195
1903-10-24T14:23,210
1903-11-08T14:13,225
1903-11-23T11:21,240
1903-12-08T06:35,255
1903-12-23T00:20,270
1904-01-06T17:37,285
1904-01-21T10:58,300
1904-02-05T05:24,315
1904-02-20T01:25,330
1904-03-05T23:52,345
1904-03-21T00:59,0
1904-04-05T05:19,15
1904-04-20T12:42,30
1904-05-05T23:19,45
1904-05-21T12:29,60
1904-06-06T04:01,75
1904-06-21T20:52,90
1904-07-07T14:32,105
1904-07-23T07:50,120
1904-08-08T00:12,135
1904-08-23T14:37,150
1904-09-08T02:38,165
1904-09-23T11:40,180
1904-10-08T17:36,195
1904-10-23T20:19,210
1904-11-07T20:05,225
1904-11-22T17:16,240
1904-12-07T12:25,255
1904-12-22T06:14,270
1905-01-05T23:27,285
1905-01-20T16:52,300
1905-02-04T11:16,315
1905-02-19T07:21,330
1905-03-06T05:46,345
1905-03-21T06:58,0
1905-04-05T11:15,15
1905-04-20T18:44,30
1905-05-06T05:14,45
1905-05-21T18:31,60
1905-06-06T09:54,75
1905-06-22T02:52,90
1905-07-07T20:20,105
1905-07-23T13:46,120
1905-08-08T05:57,135
1905-08-23T20:29,150
1905-09-08T08:22,165
1905-09-23T17:30,180
1905-10-08T23:20,195
1905-10-24T02:08,210
1905-11-08T01:50,225
1905-11-22T23:05,240
1905-12-07T18:11,255
1905-12-22T12:04,270
1906-01-06T05:13,285
1906-01-20T22:43,300
1906-02-04T17:04,315
1906-02-19T13:14,330
1906-03-06T11:36,345
1906-03-21T12:53,0
1906-04-05T17:07,15
1906-04-21T00:39,30
1906-05-06T11:09,45
1906-05-22T00:25,60
1906-06-06T15:49,75
1906-06-22T08:42,90
1906-07-08T02:16,105
1906-07-23T19:33,120
1906-08-08T11:52,135
1906-08-24T02:14,150
1906-09-08T14:16,165
1906-09-23T23:15,180
1906-10-09T05:15,195
1906-10-24T07:55,210
1906-11-08T07:47,225
1906-11-23T04:54,240
1906-12-08T00:09,255
1906-12-22T17:53,270
1907-01-06T11:11,285
1907-01-21T04:31,300
1907-02-04T22:59,315
1907-02-19T18:58,330
1907-03-06T17:27,345
1907-03-21T18:33,0
1907-04-05T22:55,15
1907-04-21T06:17,30
1907-05-06T16:54,45
1907-05-22T06:03,60
1907-06-06T21:33,75
1907-06-22T14:23,90
1907-07-08T07:59,105
1907-07-24T01:18,120
1907-08-08T17:36,135
1907-08-24T08:04,150
1907-09-08T20:02,165
1907-09-24T05:09,180
1907-10-09T11:03,195
1907-10-24T13:52,210
1907-11-08T13:36,225
1907-11-23T10:52,240
1907-12-08T05:59,255
1907-12-22T23:51,270
1908-01-06T17:01,285
1908-01-21T10:28,300
1908-02-05T04:47,315
1908-02-20T00:54,330
1908-03-05T23:14,345
1908-03-21T00:27,0
1908-04-05T04:40,15
1908-04-20T12:11,30
1908-05-05T22:39,45
1908-05-21T11:58,60
1908-06-06T03:19,75
1908-06-21T20:19,90
1908-07-07T13:48,105
1908-07-23T07:14,120
1908-08-07T23:27,135
1908-08-23T13:57,150
